"Housing Insecurity (Missed Payment and Low Confidence), Household Pulse Survey","","","","","","",""
"Adults in households who are not current on rent or mortgage payments and who have slight or no confidence that their household can pay next month's rent or mortgage on time","","","","","","",""
"","","Total Housing Insecurity (Missed Payment and Low Confidence)","","Percent Housing Insecurity (Missed Payment and Low Confidence)","","",""
"Arkansas","21 - December 9-21, 2020","88386","26665","8.2","2.6","1077902","2,246,527"
"California","21 - December 9-21, 2020","2232487","416935","12.3","2.1","18160516","29,939,021"
"Colorado","21 - December 9-21, 2020","209615","54493","7.2","1.8","2898845","4,454,718"
"Connecticut","21 - December 9-21, 2020","141812","49290","8.9","3","1600819","2,732,423"
"Delaware","21 - December 9-21, 2020","43148","18683","10","4.2","429789","754,637"
"District of Columbia","21 - December 9-21, 2020","36093","15710","9.4","4","385668","542,635"
"Florida","21 - December 9-21, 2020","786106","185328","8.4","2","9354508","17,085,385"
"Georgia","21 - December 9-21, 2020","412446","116658","9","2.5","4565785","7,955,983"
"Hawaii","21 - December 9-21, 2020","45709","19422","6.7","2.9","682936","1,073,229"
"Idaho","21 - December 9-21, 2020","58013","20946","6.9","2.5","837724","1,343,198"
"Illinois","21 - December 9-21, 2020","511738","126414","9.6","2.3","5324119","9,546,424"
"Indiana","21 - December 9-21, 2020","229565","65766","8.2","2.2","2783484","5,015,550"
"Iowa","21 - December 9-21, 2020","102684","30936","8.4","2.4","1228607","2,342,905"
"Kansas","21 - December 9-21, 2020","118723","32868","10","2.6","1183875","2,140,957"
"Kentucky","21 - December 9-21, 2020","170325","58335","8.7","2.9","1954906","3,344,102"
"Louisiana","21 - December 9-21, 2020","300053","86522","17.9","5.1","1677308","3,431,432"
"Maine","21 - December 9-21, 2020","31266","17045","5","2.7","625863","1,065,620"
"Maryland","21 - December 9-21, 2020","353007","88397","12.1","2.9","2912421","4,586,920"
"Massachusetts","21 - December 9-21, 2020","191678","60960","5.8","1.8","3300683","5,324,065"
"Michigan","21 - December 9-21, 2020","326514","103634","8.2","2.6","3972649","7,644,458"
"Minnesota","21 - December 9-21, 2020","216529","61153","8.5","2.4","2548565","4,241,624"
"Mississippi","21 - December 9-21, 2020","140639","63166","13.2","5.7","1061613","2,189,670"
"Missouri","21 - December 9-21, 2020","192722","68976","7.3","2.5","2643120","4,617,880"
"Montana","21 - December 9-21, 2020","34894","15843","6.9","3.1","508026","822,204"
"Nebraska","21 - December 9-21, 2020","51548","23917","6.3","2.9","823846","1,418,191"
"Nevada","21 - December 9-21, 2020","160386","32360","10.9","2.2","1477272","2,399,457"
"New Hampshire","21 - December 9-21, 2020","30765","13882","4.7","2.1","653443","1,073,014"
"New Jersey","21 - December 9-21, 2020","279340","85820","7.7","2.4","3627789","6,776,822"
"New Mexico","21 - December 9-21, 2020","113055","44050","12.5","4.6","904157","1,589,574"
"New York","21 - December 9-21, 2020","964774","284606","12","3.4","8032252","14,847,080"
"North Carolina","21 - December 9-21, 2020","355974","135729","8.2","3.1","4366698","8,017,566"
"North Dakota","21 - December 9-21, 2020","13621","9230","4.5","3","301310","561,016"
"Ohio","21 - December 9-21, 2020","515662","226889","10.6","4.5","4884792","8,822,539"
"Oklahoma","21 - December 9-21, 2020","170910","53735","11.1","3.5","1533610","2,916,436"
"Oregon","21 - December 9-21, 2020","135797","42480","6.4","2","2130883","3,302,727"
"Pennsylvania","21 - December 9-21, 2020","426118","118168","8.5","2.4","5017210","9,776,154"
"Rhode Island","21 - December 9-21, 2020","49851","26637","10.4","5.4","480333","817,559"
"South Carolina","21 - December 9-21, 2020","233903","89741","11.5","3.9","2040341","3,969,123"
"South Dakota","21 - December 9-21, 2020","30166","12682","8.5","3.4","355516","642,658"
"Tennessee","21 - December 9-21, 2020","317433","91787","12.1","3.2","2634015","5,221,475"
"Texas","21 - December 9-21, 2020","1356917","302257","11.7","2.6","11632904","21,356,906"
"Utah","21 - December 9-21, 2020","56213","15093","4","1.1","1398369","2,281,207"
"Vermont","21 - December 9-21, 2020","14789","9336","5","3.2","293720","485,485"
"Virginia","21 - December 9-21, 2020","280797","70724","7.2","1.8","3888164","6,472,737"
"Washington","21 - December 9-21, 2020","175814","43878","4.7","1.1","3778137","5,890,357"
"West Virginia","21 - December 9-21, 2020","52691","22417","8.3","3.4","632887","1,379,576"
"Wisconsin","21 - December 9-21, 2020","134528","68192","5.1","2.6","2623562","4,438,719"
"Wyoming","21 - December 9-21, 2020","30632","15647","12.2","6.2","251656","433,400"
"Alabama","20 - November 25 - December 7, 2020","203691","94698","10.7","4.8","1905228","3,717,378"
"Alaska","20 - November 25 - December 7, 2020","26015","4911","8.3","1.6","313329","524,925"
"Arizona","20 - November 25 - December 7, 2020","277950","86867","8.6","2.6","3246012","5,597,268"
"Arkansas","20 - November 25 - December 7, 2020","90971","31614","7.4","2.7","1233305","2,246,527"
"California","20 - November 25 - December 7, 2020","1454717","346396","8","1.8","18121864","29,939,021"
"Colorado","20 - November 25 - December 7, 2020","266482","69547","8.6","2.2","3092787","4,454,718"
"Connecticut","20 - November 25 - December 7, 2020","73246","24055","4.7","1.6","1556588","2,732,423"
"Delaware","20 - November 25 - December 7, 2020","60759","23697","15.2","5.5","400010","754,637"
"District of Columbia","20 - November 25 - December 7, 2020","42866","15433","11","3.8","389605","542,635"
"Florida","20 - November 25 - December 7, 2020","1120856","318602","12.3","3.3","9146796","17,085,385"
"Georgia","20 - November 25 - December 7, 2020","390184","143100","9.4","3.2","4134345","7,955,983"
"Hawaii","20 - November 25 - December 7, 2020","58579","21739","9.1","3.3","645719","1,073,229"
"Idaho","20 - November 25 - December 7, 2020","36580","13591","4.2","1.6","862367","1,343,198"
"Illinois","20 - November 25 - December 7, 2020","520139","134239","9.6","2.4","5442295","9,546,424"
"Indiana","20 - November 25 - December 7, 2020","233839","68728","8.1","2.3","2899420","5,015,550"
"Iowa","20 - November 25 - December 7, 2020","59041","21771","4.9","1.8","1203755","2,342,905"
"Kansas","20 - November 25 - December 7, 2020","69933","26151","5.7","2","1232261","2,140,957"
"Kentucky","20 - November 25 - December 7, 2020","142980","52594","7.7","2.8","1865425","3,344,102"
"Louisiana","20 - November 25 - December 7, 2020","251803","68635","15.9","4.1","1581097","3,431,432"
"Maine","20 - November 25 - December 7, 2020","25184","14564","4.4","2.4","572454","1,065,620"
"Maryland","20 - November 25 - December 7, 2020","284479","90668","10.2","3.2","2783786","4,586,920"
"Massachusetts","20 - November 25 - December 7, 2020","294401","89418","9.3","2.8","3163494","5,324,065"
"Michigan","20 - November 25 - December 7, 2020","273440","74325","6.5","1.7","4191373","7,644,458"
"Minnesota","20 - November 25 - December 7, 2020","123240","56503","4.9","2.2","2500762","4,241,624"
"Mississippi","20 - November 25 - December 7, 2020","122199","44865","12.8","4.6","955680","2,189,670"
"Missouri","20 - November 25 - December 7, 2020","170646","68701","6.6","2.6","2584895","4,617,880"
"Montana","20 - November 25 - December 7, 2020","10338","4770","2.3","1.1","457938","822,204"
"Nebraska","20 - November 25 - December 7, 2020","58701","19192","7.2","2.4","810089","1,418,191"
"Nevada","20 - November 25 - December 7, 2020","135943","41033","8.7","2.5","1555088","2,399,457"
"New Hampshire","20 - November 25 - December 7, 2020","56641","18161","8.7","2.8","654661","1,073,014"
"New Jersey","20 - November 25 - December 7, 2020","421790","87776","11.4","2.2","3699166","6,776,822"
"New Mexico","20 - November 25 - December 7, 2020","60953","20871","7","2.4","874810","1,589,574"
"New York","20 - November 25 - December 7, 2020","741796","223305","9.1","2.6","8175166","14,847,080"
"North Carolina","20 - November 25 - December 7, 2020","556739","168176","11.8","3.6","4729435","8,017,566"
"North Dakota","20 - November 25 - December 7, 2020","14374","8211","5.1","2.9","280440","561,016"
"Ohio","20 - November 25 - December 7, 2020","490427","155285","9.8","2.9","4995439","8,822,539"
"Oklahoma","20 - November 25 - December 7, 2020","208008","63092","13.2","3.7","1576380","2,916,436"
"Oregon","20 - November 25 - December 7, 2020","244298","87596","11","3.8","2229632","3,302,727"
"Pennsylvania","20 - November 25 - December 7, 2020","691033","213267","13.2","3.7","5240131","9,776,154"
"Rhode Island","20 - November 25 - December 7, 2020","42907","20216","8.6","4","501205","817,559"
"South Carolina","20 - November 25 - December 7, 2020","222783","82432","9.7","3.5","2304867","3,969,123"
"South Dakota","20 - November 25 - December 7, 2020","23415","11060","6.5","3.1","362507","642,658"
"Tennessee","20 - November 25 - December 7, 2020","262000","79563","9.1","2.5","2893097","5,221,475"
"Texas","20 - November 25 - December 7, 2020","1253148","235718","11","1.9","11415877","21,356,906"
"Utah","20 - November 25 - December 7, 2020","68032","22454","4.5","1.5","1498322","2,281,207"
"Vermont","20 - November 25 - December 7, 2020","26508","10638","8.8","3.4","300143","485,485"
"Virginia","20 - November 25 - December 7, 2020","237899","95989","6","2.4","3955415","6,472,737"
"Washington","20 - November 25 - December 7, 2020","162659","44324","4.2","1.1","3889603","5,890,357"
"West Virginia","20 - November 25 - December 7, 2020","57754","26989","8.7","4","661057","1,379,576"
"Wisconsin","20 - November 25 - December 7, 2020","141258","43956","6","1.9","2372489","4,438,719"
"Wyoming","20 - November 25 - December 7, 2020","19650","7653","7.5","2.9","260828","433,400"
"Alabama","19 - November 11-23, 2020","256804","86040","12.7","4.1","2019573","3,717,378"
"Alaska","19 - November 11-23, 2020","23665","5548","7.4","1.7","320871","524,925"
"Arizona","19 - November 11-23, 2020","142905","55101","4.2","1.6","3408605","5,597,268"
"Arkansas","19 - November 11-23, 2020","111066","34169","8.9","2.7","1243052","2,246,527"
"California","19 - November 11-23, 2020","1218771","308040","6.7","1.6","18121603","29,939,021"
"Colorado","19 - November 11-23, 2020","121495","36391","4.1","1.3","2935003","4,454,718"
"Connecticut","19 - November 11-23, 2020","124090","37698","7.7","2.3","1611174","2,732,423"
"Delaware","19 - November 11-23, 2020","30769","11227","7.8","2.9","395768","754,637"
"District of Columbia","19 - November 11-23, 2020","52533","28350","14.3","7.3","367046","542,635"
"Florida","19 - November 11-23, 2020","775095","257769","9","3","8589310","17,085,385"
"Georgia","19 - November 11-23, 2020","356788","124207","8.1","2.7","4401966","7,955,983"
"Hawaii","19 - November 11-23, 2020","68467","38522","9.4","5.2","730319","1,073,229"
"Idaho","19 - November 11-23, 2020","51383","15838","6.2","1.9","824631","1,343,198"
"Illinois","19 - November 11-23, 2020","365252","92048","7.1","1.8","5157418","9,546,424"
"Indiana","19 - November 11-23, 2020","179130","59853","6.7","2.3","2681765","5,015,550"
"Iowa","19 - November 11-23, 2020","71415","20883","5.6","1.7","1264273","2,342,905"
"Kansas","19 - November 11-23, 2020","55549","20345","4.7","1.7","1188338","2,140,957"
"Kentucky","19 - November 11-23, 2020","185971","52830","10.7","3.1","1736195","3,344,102"
"Louisiana","19 - November 11-23, 2020","180333","85290","10.8","4.8","1672212","3,431,432"
"Maine","19 - November 11-23, 2020","38498","21795","6.4","3.5","600087","1,065,620"
"Maryland","19 - November 11-23, 2020","193303","46673","7.4","1.7","2614874","4,586,920"
"Massachusetts","19 - November 11-23, 2020","183561","47749","5.8","1.5","3151770","5,324,065"
"Michigan","19 - November 11-23, 2020","283879","103562","6.9","2.5","4088437","7,644,458"
"Minnesota","19 - November 11-23, 2020","107817","46867","4.4","1.9","2458606","4,241,624"
"Mississippi","19 - November 11-23, 2020","89730","46002","9.8","4.8","911984","2,189,670"
"Missouri","19 - November 11-23, 2020","201905","75210","7.7","2.7","2605611","4,617,880"
"Montana","19 - November 11-23, 2020","40765","11999","8","2.2","510871","822,204"
"Nebraska","19 - November 11-23, 2020","51199","15717","5.9","1.8","861149","1,418,191"
"Nevada","19 - November 11-23, 2020","124996","35968","8.2","2.3","1520050","2,399,457"
"New Hampshire","19 - November 11-23, 2020","38834","13829","6.4","2.3","609132","1,073,014"
"New Jersey","19 - November 11-23, 2020","300335","70128","8","1.8","3758566","6,776,822"
"New Mexico","19 - November 11-23, 2020","110516","39748","12.9","4.5","854947","1,589,574"
"New York","19 - November 11-23, 2020","952375","233683","11.7","2.9","8173407","14,847,080"
"North Carolina","19 - November 11-23, 2020","477638","143800","10.8","3.1","4410325","8,017,566"
"North Dakota","19 - November 11-23, 2020","10705","5423","3.6","1.8","299055","561,016"
"Ohio","19 - November 11-23, 2020","341202","112901","7","2.4","4899809","8,822,539"
"Oklahoma","19 - November 11-23, 2020","99643","37715","7","2.6","1415436","2,916,436"
"Oregon","19 - November 11-23, 2020","160728","41735","7.2","1.9","2218106","3,302,727"
"Pennsylvania","19 - November 11-23, 2020","389836","129040","7.4","2.4","5259803","9,776,154"
"Rhode Island","19 - November 11-23, 2020","42626","18490","9.3","3.8","458265","817,559"
"South Carolina","19 - November 11-23, 2020","283835","123475","13.4","5.4","2124156","3,969,123"
"South Dakota","19 - November 11-23, 2020","32050","13360","9.3","3.8","345641","642,658"
"Tennessee","19 - November 11-23, 2020","202416","54531","6.7","1.8","3034637","5,221,475"
"Texas","19 - November 11-23, 2020","1365680","300203","11.5","2.4","11897181","21,356,906"
"Utah","19 - November 11-23, 2020","63269","17479","4.2","1.1","1488839","2,281,207"
"Vermont","19 - November 11-23, 2020","10498","4621","3.5","1.6","297513","485,485"
"Virginia","19 - November 11-23, 2020","190335","69084","5","1.8","3772941","6,472,737"
"Washington","19 - November 11-23, 2020","188217","52253","5","1.4","3758704","5,890,357"
"West Virginia","19 - November 11-23, 2020","56305","27245","8","3.9","702234","1,379,576"
"Wisconsin","19 - November 11-23, 2020","117836","41304","4.5","1.6","2607917","4,438,719"
"Wyoming","19 - November 11-23, 2020","24533","12374","10.3","5.1","239044","433,400"
"Alabama","18 - October 28 - November 9, 2020","188340","75929","11.3","4.5","1665614","3,717,378"
"Alaska","18 - October 28 - November 9, 2020","24013","7392","7.5","2.2","320053","524,925"
"Arizona","18 - October 28 - November 9, 2020","337360","114855","10.4","3.4","3253908","5,597,268"
"Arkansas","18 - October 28 - November 9, 2020","90046","33716","7.9","2.8","1132982","2,246,527"
"California","18 - October 28 - November 9, 2020","961621","220394","6","1.3","16090620","29,939,021"
"Colorado","18 - October 28 - November 9, 2020","136017","56349","4.8","2","2838686","4,454,718"
"Connecticut","18 - October 28 - November 9, 2020","117247","41382","7.7","2.6","1531850","2,732,423"
"Delaware","18 - October 28 - November 9, 2020","43930","18835","11","4.5","397796","754,637"
"District of Columbia","18 - October 28 - November 9, 2020","31455","12100","8.3","3.3","378125","542,635"
"Florida","18 - October 28 - November 9, 2020","666546","225082","7.3","2.4","9147017","17,085,385"
"Georgia","18 - October 28 - November 9, 2020","483142","175970","11","3.8","4394557","7,955,983"
"Hawaii","18 - October 28 - November 9, 2020","53705","21789","7.9","3.2","679119","1,073,229"
"Idaho","18 - October 28 - November 9, 2020","46591","18980","5.9","2.4","794898","1,343,198"
"Illinois","18 - October 28 - November 9, 2020","368627","148464","7.3","2.8","5040487","9,546,424"
"Indiana","18 - October 28 - November 9, 2020","245232","71044","8.5","2.4","2872388","5,015,550"
"Iowa","18 - October 28 - November 9, 2020","60082","24036","4.3","1.7","1382962","2,342,905"
"Kansas","18 - October 28 - November 9, 2020","114844","37940","10","3.2","1148958","2,140,957"
"Kentucky","18 - October 28 - November 9, 2020","135027","69392","7.2","3.6","1868961","3,344,102"
"Louisiana","18 - October 28 - November 9, 2020","149160","52024","9.6","3.2","1557205","3,431,432"
"Maine","18 - October 28 - November 9, 2020","17781","10795","3.4","2","528280","1,065,620"
"Maryland","18 - October 28 - November 9, 2020","287404","88015","10.5","2.9","2739945","4,586,920"
"Massachusetts","18 - October 28 - November 9, 2020","141984","52260","4.7","1.7","3037114","5,324,065"
"Michigan","18 - October 28 - November 9, 2020","283291","110324","7","2.7","4023852","7,644,458"
"Minnesota","18 - October 28 - November 9, 2020","199012","80360","7.7","3.1","2585482","4,241,624"
"Mississippi","18 - October 28 - November 9, 2020","147301","61975","14.8","5.4","992099","2,189,670"
"Missouri","18 - October 28 - November 9, 2020","132655","43604","5.5","1.9","2398749","4,617,880"
"Montana","18 - October 28 - November 9, 2020","26181","11406","5.8","2.5","447603","822,204"
"Nebraska","18 - October 28 - November 9, 2020","45178","17509","5.5","2.1","820625","1,418,191"
"Nevada","18 - October 28 - November 9, 2020","97737","25995","6.7","1.8","1460018","2,399,457"
"New Hampshire","18 - October 28 - November 9, 2020","37906","14464","6.7","2.5","568863","1,073,014"
"New Jersey","18 - October 28 - November 9, 2020","354764","94763","9.9","2.7","3594361","6,776,822"
"New Mexico","18 - October 28 - November 9, 2020","108735","44475","12.3","4.6","884072","1,589,574"
"New York","18 - October 28 - November 9, 2020","1374687","458215","16.1","5.3","8538864","14,847,080"
"North Carolina","18 - October 28 - November 9, 2020","302367","130035","7","3","4324312","8,017,566"
"North Dakota","18 - October 28 - November 9, 2020","19205","7222","6.1","2.2","313133","561,016"
"Ohio","18 - October 28 - November 9, 2020","403884","164291","8.1","3.3","4998890","8,822,539"
"Oklahoma","18 - October 28 - November 9, 2020","128952","40788","8.7","2.7","1481557","2,916,436"
"Oregon","18 - October 28 - November 9, 2020","109007","36146","5.4","1.8","2008967","3,302,727"
"Pennsylvania","18 - October 28 - November 9, 2020","678403","179323","13.3","3.3","5104160","9,776,154"
"Rhode Island","18 - October 28 - November 9, 2020","37456","15215","7.8","3","479035","817,559"
"South Carolina","18 - October 28 - November 9, 2020","350534","129266","15.8","5.3","2224109","3,969,123"
"South Dakota","18 - October 28 - November 9, 2020","17487","7558","5.3","2.3","327776","642,658"
"Tennessee","18 - October 28 - November 9, 2020","267796","88884","8.5","2.8","3135014","5,221,475"
"Texas","18 - October 28 - November 9, 2020","1069268","293619","9.7","2.5","11054912","21,356,906"
"Utah","18 - October 28 - November 9, 2020","90643","27623","6.2","1.9","1462720","2,281,207"
"Vermont","18 - October 28 - November 9, 2020","18062","9869","6.3","3.5","287505","485,485"
"Virginia","18 - October 28 - November 9, 2020","254040","99154","7.1","2.7","3598289","6,472,737"
"Washington","18 - October 28 - November 9, 2020","196849","62708","5.1","1.6","3836945","5,890,357"
"West Virginia","18 - October 28 - November 9, 2020","66032","31861","11","5.3","598543","1,379,576"
"Wisconsin","18 - October 28 - November 9, 2020","124462","72238","5.1","2.9","2443650","4,438,719"
"Wyoming","18 - October 28 - November 9, 2020","16757","7581","6.7","3","248456","433,400"
"Alabama","17 - October 14-26, 2020","159454","60017","8.3","3","1919972","3,717,378"
"Alaska","17 - October 14-26, 2020","34092","10602","10.2","3.1","334952","524,925"
"Arizona","17 - October 14-26, 2020","175737","46079","5.2","1.4","3361578","5,597,268"
"Arkansas","17 - October 14-26, 2020","103208","24547","8.8","2","1173914","2,246,527"
"California","17 - October 14-26, 2020","1112482","268800","6.4","1.5","17439070","29,939,021"
"Colorado","17 - October 14-26, 2020","130195","39191","4.4","1.3","2976298","4,454,718"
"Connecticut","17 - October 14-26, 2020","104797","36283","6.7","2.3","1567785","2,732,423"
"Delaware","17 - October 14-26, 2020","34728","12029","7.7","2.6","449386","754,637"
"District of Columbia","17 - October 14-26, 2020","27729","10493","7.6","2.8","366509","542,635"
"Florida","17 - October 14-26, 2020","846552","217248","9.3","2.2","9121897","17,085,385"
"Georgia","17 - October 14-26, 2020","285491","84518","6.5","1.9","4364690","7,955,983"
"Hawaii","17 - October 14-26, 2020","57538","17896","8.7","2.6","661382","1,073,229"
"Idaho","17 - October 14-26, 2020","39504","14289","4.6","1.7","855101","1,343,198"
"Illinois","17 - October 14-26, 2020","318887","103011","6.4","2","5005619","9,546,424"
"Indiana","17 - October 14-26, 2020","166093","48738","5.6","1.6","2992274","5,015,550"
"Iowa","17 - October 14-26, 2020","54146","16390","4.1","1.2","1324400","2,342,905"
"Kansas","17 - October 14-26, 2020","26696","10107","2.1","0.8","1264474","2,140,957"
"Kentucky","17 - October 14-26, 2020","101890","36605","5.6","2.1","1805745","3,344,102"
"Louisiana","17 - October 14-26, 2020","213807","70306","12.4","4.2","1718215","3,431,432"
"Maine","17 - October 14-26, 2020","37212","16711","6.7","2.9","557627","1,065,620"
"Maryland","17 - October 14-26, 2020","294723","78981","10.2","2.7","2895653","4,586,920"
"Massachusetts","17 - October 14-26, 2020","217244","68251","6.7","2","3244313","5,324,065"
"Michigan","17 - October 14-26, 2020","201247","65358","4.9","1.6","4120499","7,644,458"
"Minnesota","17 - October 14-26, 2020","104430","37063","4.2","1.5","2511116","4,241,624"
"Mississippi","17 - October 14-26, 2020","81190","23837","7.9","2.4","1033447","2,189,670"
"Missouri","17 - October 14-26, 2020","162597","43932","6.4","1.7","2531718","4,617,880"
"Montana","17 - October 14-26, 2020","22756","12999","4.9","2.8","467286","822,204"
"Nebraska","17 - October 14-26, 2020","47500","16262","5.5","1.8","862446","1,418,191"
"Nevada","17 - October 14-26, 2020","223197","70310","14.7","4.5","1518524","2,399,457"
"New Hampshire","17 - October 14-26, 2020","24778","10343","4","1.6","622314","1,073,014"
"New Jersey","17 - October 14-26, 2020","227824","59978","5.8","1.5","3916435","6,776,822"
"New Mexico","17 - October 14-26, 2020","87975","37303","10","4","883340","1,589,574"
"New York","17 - October 14-26, 2020","664995","184152","8","2.2","8328710","14,847,080"
"North Carolina","17 - October 14-26, 2020","209383","76699","4.7","1.8","4417194","8,017,566"
"North Dakota","17 - October 14-26, 2020","8608","4696","2.7","1.5","320726","561,016"
"Ohio","17 - October 14-26, 2020","328862","121033","6.6","2.4","4954454","8,822,539"
"Oklahoma","17 - October 14-26, 2020","104771","28715","6.5","1.7","1606050","2,916,436"
"Oregon","17 - October 14-26, 2020","119249","32378","5.4","1.5","2227659","3,302,727"
"Pennsylvania","17 - October 14-26, 2020","414204","127384","7.7","2.3","5409437","9,776,154"
"Rhode Island","17 - October 14-26, 2020","28602","12140","6.3","2.7","457000","817,559"
"South Carolina","17 - October 14-26, 2020","169049","57227","7.9","2.6","2136953","3,969,123"
"South Dakota","17 - October 14-26, 2020","22225","9562","6.5","2.7","340577","642,658"
"Tennessee","17 - October 14-26, 2020","284025","96148","9.8","3.4","2909792","5,221,475"
"Texas","17 - October 14-26, 2020","1101019","272802","9.6","2.3","11456579","21,356,906"
"Utah","17 - October 14-26, 2020","56981","21712","3.9","1.5","1477294","2,281,207"
"Vermont","17 - October 14-26, 2020","12297","5347","4.4","1.9","282256","485,485"
"Virginia","17 - October 14-26, 2020","245048","71496","6","1.7","4081608","6,472,737"
"Washington","17 - October 14-26, 2020","183207","62408","4.8","1.6","3856076","5,890,357"
"West Virginia","17 - October 14-26, 2020","48185","24545","7.2","3.5","665235","1,379,576"
"Wisconsin","17 - October 14-26, 2020","118148","39720","4.7","1.5","2528966","4,438,719"
"Wyoming","17 - October 14-26, 2020","16787","5137","7.2","2.2","231716","433,400"
"Alabama","16 - September 30 - October 12, 2020","123441","44267","6.6","2.3","1865168","3,717,378"
"Alaska","16 - September 30 - October 12, 2020","23953","6937","7.6","2.2","315410","524,925"
"Arizona","16 - September 30 - October 12, 2020","215925","63527","6.3","1.8","3417632","5,597,268"
"Arkansas","16 - September 30 - October 12, 2020","113745","32378","9.6","2.6","1188252","2,246,527"
"California","16 - September 30 - October 12, 2020","1108620","245646","6","1.4","18456002","29,939,021"
"Colorado","16 - September 30 - October 12, 2020","120800","36794","4.1","1.3","2961591","4,454,718"
"Connecticut","16 - September 30 - October 12, 2020","159517","36347","9.6","2.1","1658130","2,732,423"
"Delaware","16 - September 30 - October 12, 2020","23694","8639","5.4","2","440035","754,637"
"District of Columbia","16 - September 30 - October 12, 2020","20372","8843","5","2.2","405241","542,635"
"Florida","16 - September 30 - October 12, 2020","633181","154179","6.9","1.6","9171347","17,085,385"
"Georgia","16 - September 30 - October 12, 2020","456210","134390","9.8","2.8","4644678","7,955,983"
"Hawaii","16 - September 30 - October 12, 2020","44385","13214","6.7","2","659693","1,073,229"
"Idaho","16 - September 30 - October 12, 2020","36967","14340","4.6","1.8","805970","1,343,198"
"Illinois","16 - September 30 - October 12, 2020","449643","111887","8.3","2","5413479","9,546,424"
"Indiana","16 - September 30 - October 12, 2020","234112","64550","8","2.2","2942314","5,015,550"
"Iowa","16 - September 30 - October 12, 2020","98196","40980","7.1","2.9","1385132","2,342,905"
"Kansas","16 - September 30 - October 12, 2020","70061","21677","5.8","1.8","1218156","2,140,957"
"Kentucky","16 - September 30 - October 12, 2020","125328","43011","6.5","2.2","1920969","3,344,102"
"Louisiana","16 - September 30 - October 12, 2020","202215","56876","12.2","3.2","1663590","3,431,432"
"Maine","16 - September 30 - October 12, 2020","20048","8470","3.2","1.3","630086","1,065,620"
"Maryland","16 - September 30 - October 12, 2020","211055","49432","7.7","1.7","2744968","4,586,920"
"Massachusetts","16 - September 30 - October 12, 2020","213908","47851","6.6","1.4","3263949","5,324,065"
"Michigan","16 - September 30 - October 12, 2020","347138","98491","8.2","2.4","4238084","7,644,458"
"Minnesota","16 - September 30 - October 12, 2020","82168","25834","3.5","1.2","2353422","4,241,624"
"Mississippi","16 - September 30 - October 12, 2020","149044","45197","14.1","4.2","1059424","2,189,670"
"Missouri","16 - September 30 - October 12, 2020","257922","80392","9.4","2.8","2746567","4,617,880"
"Montana","16 - September 30 - October 12, 2020","19244","9692","4","2","480407","822,204"
"Nebraska","16 - September 30 - October 12, 2020","39594","12555","4.8","1.5","832040","1,418,191"
"Nevada","16 - September 30 - October 12, 2020","123273","29431","8.3","2","1477530","2,399,457"
"New Hampshire","16 - September 30 - October 12, 2020","22350","11247","3.6","1.8","618956","1,073,014"
"New Jersey","16 - September 30 - October 12, 2020","260356","79261","6.8","2.1","3829074","6,776,822"
"New Mexico","16 - September 30 - October 12, 2020","51185","15728","5.9","1.8","871656","1,589,574"
"New York","16 - September 30 - October 12, 2020","696891","176033","8.4","2","8328677","14,847,080"
"North Carolina","16 - September 30 - October 12, 2020","259123","119084","5.5","2.5","4698164","8,017,566"
"North Dakota","16 - September 30 - October 12, 2020","25269","14265","8.1","4.5","311036","561,016"
"Ohio","16 - September 30 - October 12, 2020","305439","101826","6.1","2.1","4970121","8,822,539"
"Oklahoma","16 - September 30 - October 12, 2020","118237","45335","7.1","2.7","1658731","2,916,436"
"Oregon","16 - September 30 - October 12, 2020","79471","19617","3.9","0.9","2063188","3,302,727"
"Pennsylvania","16 - September 30 - October 12, 2020","351712","128876","7.1","2.6","4947438","9,776,154"
"Rhode Island","16 - September 30 - October 12, 2020","55473","16339","11.1","3.2","500522","817,559"
"South Carolina","16 - September 30 - October 12, 2020","229410","72931","10.4","3.2","2195753","3,969,123"
"South Dakota","16 - September 30 - October 12, 2020","13966","6227","4.1","1.8","344664","642,658"
"Tennessee","16 - September 30 - October 12, 2020","295100","88525","10.2","2.9","2896137","5,221,475"
"Texas","16 - September 30 - October 12, 2020","746847","160654","6.4","1.3","11750703","21,356,906"
"Utah","16 - September 30 - October 12, 2020","62821","17443","4.3","1.2","1469004","2,281,207"
"Vermont","16 - September 30 - October 12, 2020","16872","6698","5.7","2.3","294018","485,485"
"Virginia","16 - September 30 - October 12, 2020","194100","60691","4.9","1.5","3982885","6,472,737"
"Washington","16 - September 30 - October 12, 2020","147948","41053","3.8","1","3849030","5,890,357"
"West Virginia","16 - September 30 - October 12, 2020","54555","23198","8.5","3.3","642627","1,379,576"
"Wisconsin","16 - September 30 - October 12, 2020","174009","47595","6.8","1.8","2564829","4,438,719"
"Wyoming","16 - September 30 - October 12, 2020","15740","4834","6.5","1.9","243372","433,400"
"Alabama","15 - September 16-28, 2020","157246","56841","7.9","2.7","2002374","3,717,378"
"Alaska","15 - September 16-28, 2020","24909","7963","7.6","2.3","329646","524,925"
"Arizona","15 - September 16-28, 2020","167659","50524","4.9","1.5","3420003","5,597,268"
"Arkansas","15 - September 16-28, 2020","81142","24929","6.9","2.2","1174156","2,246,527"
"California","15 - September 16-28, 2020","1169702","263799","6.2","1.4","18836884","29,939,021"
